id,full_name,description,html_url,forks_count,stargazers_count,created_at,pushed_at
640797610,alipay/onnxruntime-extensions,The pre- and post- processing library for ONNX Runtime,https://github.com/alipay/onnxruntime-extensions,0,0,2023/5/15,2023/5/15
668164078,alipay/ant-application-security-testing-benchmark-nodejs,,https://github.com/alipay/ant-application-security-testing-benchmark-nodejs,3,8,2023/7/19,2024/4/23
679191830,alipay/BehaviorAugmentedRelevanceModel,"Implementation and data of the paper ""Beyond Semantics: Learning a Behavior Augmented Relevance Model with Self-supervised Learning"" in CIKM'23.",https://github.com/alipay/BehaviorAugmentedRelevanceModel,0,1,2023/8/16,2023/8/16
681021458,alipay/Ant-Multi-Modal-Framework, Research Code for  Multimodal-Cognition Team in Ant Group,https://github.com/alipay/Ant-Multi-Modal-Framework,5,115,2023/8/21,2024/7/11
684919107,alipay/microservice_system_twin_graph_based_anomaly_detection,,https://github.com/alipay/microservice_system_twin_graph_based_anomaly_detection,2,29,2023/8/30,2023/10/25
687396446,alipay/financial_evaluation_dataset,,https://github.com/alipay/financial_evaluation_dataset,14,165,2023/9/5,2023/12/25
688401774,alipay/ComBERT,,https://github.com/alipay/ComBERT,0,7,2023/9/7,2023/9/8
696243775,alipay/container-observability-service,"Simplify Kubernetes applications operation with one-stop observability services, including resource delivery SLO，root cause diagnoses and container lifecycle tracing and more.",https://github.com/alipay/container-observability-service,16,89,2023/9/25,2024/9/5
702469988,alipay/ATTEMPT_Pre-training_with_Aspect-Content_Text_Mutual_Prediction,,https://github.com/alipay/ATTEMPT_Pre-training_with_Aspect-Content_Text_Mutual_Prediction,0,2,2023/10/9,2023/11/5
709095132,alipay/Automatic_AI_Model_Greenness_Track_Toolkit,,https://github.com/alipay/Automatic_AI_Model_Greenness_Track_Toolkit,0,3,2023/10/24,2023/11/2
722010431,alipay/PC2-NoiseofWeb,Noise of Web (NoW) is a challenging noisy correspondence learning (NCL) benchmark containing 100K image-text pairs for robust image-text matching/retrieval models.,https://github.com/alipay/PC2-NoiseofWeb,1,11,2023/11/22,2024/9/5
733497470,alipay/PainlessInferenceAcceleration,,https://github.com/alipay/PainlessInferenceAcceleration,19,285,2023/12/19,2024/7/20
735497726,alipay/private_llm,,https://github.com/alipay/private_llm,8,29,2023/12/25,2024/1/11
735773826,alipay/RJU_Ant_QA,The RJUA-QA (RenJi hospital department of Urology and Antgroup collaborative Question and Answer dataset) is an innovative medical urology specialty QA inference dataset. ,https://github.com/alipay/RJU_Ant_QA,0,49,2023/12/26,2024/4/22
744101393,alipay/mobile-agent,,https://github.com/alipay/mobile-agent,2,29,2024/1/16,2024/3/19
764625035,alipay/Analogic-Reasoning-Augmented-Large-Language-Model,,https://github.com/alipay/Analogic-Reasoning-Augmented-Large-Language-Model,1,2,2024/2/28,2024/3/1
773591236,alipay/tldk,This is a fork of FDio/tldk.,https://github.com/alipay/tldk,3,4,2024/3/18,2024/9/26
774135708,alipay/Finite_State_Autoregressive_Entropy_Coding,,https://github.com/alipay/Finite_State_Autoregressive_Entropy_Coding,1,5,2024/3/19,2024/3/25
790291008,alipay/idlark,,https://github.com/alipay/idlark,0,0,2024/4/22,2024/4/23
790704526,alipay/agentUniverse,agentUniverse is a LLM multi-agent framework that allows developers to easily build multi-agent applications. ,https://github.com/alipay/agentUniverse,106,839,2024/4/23,2024/10/24
790704969,alipay/agentUniverse-Guides,,https://github.com/alipay/agentUniverse-Guides,1,8,2024/4/23,2024/6/5
803151772,alipay/AmortizedPeriod,,https://github.com/alipay/AmortizedPeriod,0,0,2024/5/20,2024/5/20
804304886,alipay/Pattern-Based-Compression,High-Ratio Compression for Machine-Generated Data,https://github.com/alipay/Pattern-Based-Compression,0,12,2024/5/22,2024/5/23
805269849,alipay/A-Knowledge-augmented-Method-DiKGRS,,https://github.com/alipay/A-Knowledge-augmented-Method-DiKGRS,1,2,2024/5/24,2024/5/28
807008723,alipay/DUPLEX,,https://github.com/alipay/DUPLEX,0,4,2024/5/28,2024/5/28
813716022,alipay/MMDL-based-Data-Augmentation-with-Domain-Knowledge-for-Time-Series-Classification,This repository contains the official implementation for the paper: MMDL-based Data Augmentation with Domain Knowledge for Time Series Classification.,https://github.com/alipay/MMDL-based-Data-Augmentation-with-Domain-Knowledge-for-Time-Series-Classification,0,1,2024/6/11,2024/6/12
822902769,alipay/YiJian-Community,YiJian-Comunity: a full-process automated large model safety evaluation tool designed for academic research,https://github.com/alipay/YiJian-Community,12,65,2024/7/2,2024/10/12
826115941,alipay/style-tokenizer,,https://github.com/alipay/style-tokenizer,3,53,2024/7/9,2024/7/9
833504767,alipay/vsag,vsag is a vector indexing library used for similarity search.,https://github.com/alipay/vsag,12,128,2024/7/25,2024/10/24
838456300,alipay/MMLRec-A-Unified-Multi-Task-and-Multi-Scenario-Learning-Benchmark-for-Recommendation,,https://github.com/alipay/MMLRec-A-Unified-Multi-Task-and-Multi-Scenario-Learning-Benchmark-for-Recommendation,0,4,2024/8/5,2024/8/13
839647711,alipay/POA,,https://github.com/alipay/POA,1,15,2024/8/8,2024/8/8
855652385,alipay/SCALA-1B,,https://github.com/alipay/SCALA-1B,0,0,2024/9/11,2024/9/11
863882235,alipay/global-open-sdk-go,,https://github.com/alipay/global-open-sdk-go,0,1,2024/9/27,2024/10/24
